StoreName,BankName,BankNum,Account,Transit,Institution,StoreId,MerchantId,BD,MCC,MerchantOrderNo,PayOrderId,PayType,ChannelId,Currency,Amount,Tip,Rate%,Fee,Status,CreateDate,SettleDate,Remark
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651818988496,WN20220506063630647428845296,pay,WX_NATIVE,CAD,276.13,29.58,0.8,2.21,2,2022-05-05 23:36:30,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651811523755,WN20220506043204538177837652,pay,WX_NATIVE,CAD,53.91,7.03,0.8,0.43,2,2022-05-05 21:32:04,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651809148828,WN20220506035231203298833989,pay,WX_NATIVE,CAD,339.86,36.41,0.8,2.72,2,2022-05-05 20:52:31,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651808541303,WM20220506034222989212249286,pay,WX_MICROPAY,CAD,145.70,19.00,0.8,1.17,2,2022-05-05 20:42:22,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651807336789,WM20220506032219214154806011,pay,WX_MICROPAY,CAD,133.40,17.40,0.8,1.07,2,2022-05-05 20:22:19,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651805386752,WN20220506024948855669890557,pay,WX_NATIVE,CAD,576.31,115.26,0.8,4.61,2,2022-05-05 19:49:48,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651803229730,WN20220506021350853444075946,pay,WX_NATIVE,CAD,128.85,19.65,0.8,1.03,2,2022-05-05 19:13:50,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651803156418,AM20220506021238083276470896,pay,ALIPAY_MICROPAY,CAD,144.03,18.78,0.8,1.15,2,2022-05-05 19:12:38,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651801051460,AQ20220506013733722865416326,pay,ALIPAY_QR,CAD,334.80,55.80,0.8,2.68,2,2022-05-05 18:37:33,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651794975312,WM20220505235618694768135345,pay,WX_MICROPAY,CAD,1.35,0.00,0.8,0.01,2,2022-05-05 16:56:18,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651791892994,WM20220505230454591598437884,pay,WX_MICROPAY,CAD,141.45,18.45,0.8,1.13,2,2022-05-05 16:04:54,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651790543997,WN20220505224225398542910514,pay,WX_NATIVE,CAD,58.96,7.69,0.8,0.47,2,2022-05-05 15:42:25,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651790521334,WM20220505224202736788677016,pay,WX_MICROPAY,CAD,58.96,7.69,0.8,0.47,2,2022-05-05 15:42:02,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651790490756,WN20220505224132129219695525,pay,WX_NATIVE,CAD,58.96,7.69,0.8,0.47,2,2022-05-05 15:41:32,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651789480952,WN20220505222442301191031563,pay,WX_NATIVE,CAD,284.16,37.06,0.8,2.27,2,2022-05-05 15:24:42,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651787527697,AQ20220505215208895761875719,pay,ALIPAY_QR,CAD,169.22,22.07,0.8,1.35,2,2022-05-05 14:52:08,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651786906659,AQ20220505214148025005724428,pay,ALIPAY_QR,CAD,73.37,9.57,0.8,0.59,2,2022-05-05 14:41:48,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651786847301,WN20220505214049142569456803,pay,WX_NATIVE,CAD,73.37,9.57,0.8,0.59,2,2022-05-05 14:40:49,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651782059989,WM20220505202100565083198469,pay,WX_MICROPAY,CAD,102.12,13.32,0.8,0.82,2,2022-05-05 13:21:00,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651781777356,AQ20220505201617824862211910,pay,ALIPAY_QR,CAD,125.34,11.39,0.8,1.00,2,2022-05-05 13:16:17,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651781389471,WN20220505200949908256232819,pay,WX_NATIVE,CAD,154.67,20.17,0.8,1.24,2,2022-05-05 13:09:49,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651779008666,WN20220505193010300003528065,pay,WX_NATIVE,CAD,213.72,27.87,0.8,1.71,2,2022-05-05 12:30:10,2022-05-06 08:00:00,"",
"HaiDiLao Hotpot Richmond","BMO","Hai Di Lao Canada Resturants Group Ltd.","1813817","00040","001",26018752701,10001134,Zhe,58120000,1651736833610,WN20220505074714635797006519,pay,WX_NATIVE,CAD,104.70,13.65,0.8,0.84,2,2022-05-05 00:47:14,2022-05-06 08:00:00,"",
